,1,image_path,spotify_track_url,track_name,artist,spotify_artist_url,album_name,spotify_album_url,2,song_length
17,18,https://i.scdn.co/image/ab67616d00004851377ee031d0a3da40db19ccf4,https://open.spotify.com/track/0PBTlQ84CBJF0tBnKGmQa6,FRI(END)S,V,https://open.spotify.com/artist/3JsHnjpbhX4SnySpvpa9DK,FRI(END)S,https://open.spotify.com/album/7v4sqd0NZ9Fm8HnwCcCGIs,"Mar 20, 2024",2:28
18,19,https://i.scdn.co/image/ab67616d00004851b79a12d47af18d1d83a5caf9,https://open.spotify.com/track/0djkJ3iAARXRCbfbwwVc3o,Love wins all,IU,https://open.spotify.com/artist/3HqSLMAZ3g3d5poNaI7GOU,Love wins all,https://open.spotify.com/album/2bwwRhKbLeD3LvNDXauV2T,"Feb 17, 2024",4:31
19,20,https://i.scdn.co/image/ab67616d00004851bf6bbf06e9043fd0ce306d5a,https://open.spotify.com/track/7M7d0e8Ue3Z7QieuZe72J9,Love 119,RIIZE,https://open.spotify.com/artist/2jOm3cYujQx6o1dxuiuqaX,Love 119,https://open.spotify.com/album/5EkyygSUp3nVFEimo2ENdP,"Feb 17, 2024",2:53
20,21,https://i.scdn.co/image/ab67616d00004851409a2d7bd4b2238e4aaa7bf5,https://open.spotify.com/track/6ehWdR7cGDXnT7aKEASJxE,3D (feat. Jack Harlow),Jung Kook,https://open.spotify.com/artist/6HaGTQPmzraVmaVxvz6EUc,3D (feat. Jack Harlow),https://open.spotify.com/album/4DKnznk5VbGVvAOYBbQrZJ,"Oct 2, 2023",3:21
21,22,https://i.scdn.co/image/ab67616d000048515e352f6eccf8cb96d0b247cc,https://open.spotify.com/track/74X2u8JMVooG2QbjRxXwR8,Perfect Night,LE SSERAFIM,https://open.spotify.com/artist/4SpbR6yFEvexJuaBpgAU5p,Perfect Night,https://open.spotify.com/album/6Msc3BwzKZ5f5FXmKuUSu6,"Feb 17, 2024",2:39
22,23,https://i.scdn.co/image/ab67616d00004851d005a1842f60a0242ee43be7,https://open.spotify.com/track/2jaapqz7L9MpMf7vpkqU9I,Smoothie,NCT DREAM,https://open.spotify.com/artist/1gBUSTR3TyDdTVFIaQnc02,DREAM( )SCAPE,https://open.spotify.com/album/2urIpiAu1CySTyyNuQQxcz,"Mar 26, 2024",3:08
23,24,https://i.scdn.co/image/ab67616d0000485137c0b3670236c067c8e8bbcb,https://open.spotify.com/track/7FbrGaHYVDmfr7KoLIZnQ7,Cupid - Twin Ver.,FIFTY FIFTY,https://open.spotify.com/artist/4GJ6xDCF5jaUqD6avOuQT6,The Beginning: Cupid,https://open.spotify.com/album/5letLUZIFsQikJYShfGNs4,"Sep 25, 2023",2:54
24,25,https://i.scdn.co/image/ab67616d000048514957fced6061ee536ca618ab,https://open.spotify.com/track/5joNJn9LUvYcamWwa2iYCL,Nonstop,OH MY GIRL,https://open.spotify.com/artist/2019zR22qK2RBvCqtudBaI,NONSTOP,https://open.spotify.com/album/7J8Kp48L7RdLkpjSVrO5PY,"Feb 17, 2024",3:22
25,507,https://i.scdn.co/image/ab67616d000048514bb3b49ff157d01ab9896573,https://open.spotify.com/track/7DlfhY3YfQKi97j0DXihen,MMM,TREASURE,https://open.spotify.com/artist/3KonOYiLsU53m4yT7gNotP,THE FIRST STEP : TREASURE EFFECT,https://open.spotify.com/album/5tQDFmW8QrZdTsICpLQBTL,"Feb 17, 2024",3:28
26,508,https://i.scdn.co/image/ab67616d0000485166c8e4a0da651253f0a9dcd5,https://open.spotify.com/track/3UQw1V8gM5YihFDcnjNkWN,WATCH IT,THE BOYZ,https://open.spotify.com/artist/0CmvFWTX9zmMNCUi6fHtAx,THE BOYZ 2ND ALBUM [PHANTASY] Pt.2 Sixth Sense,https://open.spotify.com/album/7LmTay8KeH1nl0Kt1BlhMX,"Feb 17, 2024",2:59
27,509,https://i.scdn.co/image/ab67616d00004851895b93b4df47275d4c290613,https://open.spotify.com/track/14tNUeer5gUbUYvhYYTclS,REVEAL,THE BOYZ,https://open.spotify.com/artist/0CmvFWTX9zmMNCUi6fHtAx,THE BOYZ 1ST ALBUM [REVEAL],https://open.spotify.com/album/0mCPYdhQPWUQtQSp4CSxNh,"Feb 17, 2024",3:22
28,510,https://i.scdn.co/image/ab67616d000048512fd0233f39f381edbb84c26b,https://open.spotify.com/track/2DQgD8rAJLKNptQFK70ndO,The Stealer,THE BOYZ,https://open.spotify.com/artist/0CmvFWTX9zmMNCUi6fHtAx,THE BOYZ 5th MINI ALBUM [CHASE],https://open.spotify.com/album/6HwY3FwprtqsmMuoLnXWhT,"Feb 17, 2024",3:30
